,Train Acc,Test Acc,,Train Pr,Test Pr,,Train Rec,Test Rec
gen_pos_and_neg_balanced
Linear SVC,0.5871212121212122,0.6141732283464567,,0.615,0.532258064516129,,0.4659090909090909,0.6226415094339622
Scaled Linear SVC,0.6363636363636364,0.6614173228346457,,0.6395348837209303,0.5714285714285714,,0.625,0.7547169811320755
Scaled CV Linear SVC,0.6325757575757576,0.6614173228346457,,0.63671875,0.5714285714285714,,0.6174242424242424,0.7547169811320755
Scaled CV Linear SVC,0.6325757575757576,0.6614173228346457,,0.63671875,0.5714285714285714,,0.6174242424242424,0.7547169811320755
Scaled SVC,0.7727272727272727,0.7086614173228346,,0.7857142857142857,0.6290322580645161,,0.75,0.7358490566037735
Scaled CV SVC,0.6212121212121212,0.6535433070866141,,0.7622950819672131,0.6363636363636364,,0.3522727272727273,0.39622641509433965
Scaled KNN,0.7196969696969697,0.5748031496062992,,0.704225352112676,0.49295774647887325,,0.7575757575757576,0.660377358490566
Scaled CV KNN,0.7859848484848485,0.6141732283464567,,1.0,0.55,,0.571969696969697,0.41509433962264153
GBDT,0.9507575757575758,0.6299212598425197,,0.9507575757575758,0.546875,,0.9507575757575758,0.660377358490566
Scaled GBDT,0.9507575757575758,0.6141732283464567,,0.9507575757575758,0.5303030303030303,,0.9507575757575758,0.660377358490566
Scaled CV GBDT,0.7765151515151515,0.6535433070866141,,0.7683823529411765,0.5616438356164384,,0.7916666666666666,0.7735849056603774
Scaled CV GBDT,1.0,0.5748031496062992,,1.0,0.49206349206349204,,1.0,0.5849056603773585
