,Train Acc,Test Acc,,Train Pr,Test Pr,,Train Rec,Test Rec
gen_very_pos_and_neg
Linear SVC,0.6800766283524904,0.6771653543307087,,0.6434782608695652,0.6666666666666666,,0.37,0.4528301886792453
Scaled Linear SVC,0.6992337164750958,0.6929133858267716,,0.672,0.675,,0.42,0.5094339622641509
Scaled CV Linear SVC,0.6992337164750958,0.6929133858267716,,0.672,0.675,,0.42,0.5094339622641509
Scaled CV Linear SVC,0.6992337164750958,0.6929133858267716,,0.672,0.675,,0.42,0.5094339622641509
Scaled SVC,0.789272030651341,0.7244094488188977,,0.8308823529411765,0.7368421052631579,,0.565,0.5283018867924528
Scaled CV SVC,1.0,0.5984251968503937,,1.0,1.0,,1.0,0.03773584905660377
Scaled KNN,0.7662835249042146,0.6692913385826772,,0.7074468085106383,0.627906976744186,,0.665,0.5094339622641509
Scaled CV KNN,1.0,0.6535433070866141,,1.0,0.6046511627906976,,1.0,0.49056603773584906
GBDT,0.9655172413793104,0.6299212598425197,,0.9840425531914894,0.5714285714285714,,0.925,0.4528301886792453
Scaled GBDT,0.9655172413793104,0.6299212598425197,,0.9840425531914894,0.5714285714285714,,0.925,0.4528301886792453
Scaled CV GBDT,0.6168582375478927,0.5826771653543307,,0.0,0.0,,0.0,0.0
Scaled CV GBDT,0.6168582375478927,0.5826771653543307,,0.0,0.0,,0.0,0.0
